Time,Value
17,0.1259339
17.05,0.1441178
17.1,0.1878686
17.15,0.1953355
17.2,0.1759244
17.25,0.1406233
17.3,0.1062605
17.35,7.25E-02
17.4,5.86E-02
17.45,7.59E-02
17.5,8.19E-02
17.55,0.0644465
17.6,5.34E-02
17.65,3.00E-02
17.7,-2.26E-03
17.75,-1.61E-02
17.8,-2.26E-03
17.85,2.17E-02
17.9,4.35E-02
17.95,5.12E-02
18,3.62E-02
18.05,-2.56E-02
18.1,-0.0451051
18.15,-8.08E-02
18.2,-7.57E-02
18.25,-7.04E-02
18.3,-4.40E-02
18.35,-2.52E-02
18.4,-1.68E-02
18.45,-7.34E-03
18.5,6.43E-03
18.55,2.48E-02
18.6,4.11E-02
18.65,5.47E-02
18.7,7.02E-02
18.75,8.29E-02
18.8,9.68E-02
18.85,8.81E-02
18.9,7.95E-02
18.95,9.43E-02
19,7.80E-02
19.05,5.52E-02
19.1,2.45E-02
19.15,1.01E-02
19.2,-1.40E-02
19.25,-1.97E-02
19.3,2.41E-03
19.35,0.0306032
19.4,4.54E-02
19.45,6.55E-02
19.5,6.67E-02
19.55,3.15E-02
19.6,-3.06E-02
19.65,-9.35E-02
19.7,-0.0966256
19.75,-7.06E-02
19.8,-3.20E-02
19.85,1.03E-02
19.9,2.28E-02
19.95,-5.98E-03
20,-0.0103783
20.05,-2.14E-02
20.1,-5.86E-03
20.15,8.91E-03
20.2,3.70E-02
20.25,7.57E-02
20.3,0.1065041
20.35,0.1296013
20.4,0.1441873
20.45,0.1464682
20.5,0.1356996
20.55,0.1214407
20.6,0.107885
20.65,8.98E-02
20.7,4.77E-02
20.75,1.64E-02
20.8,3.07E-02
20.85,0.0580765
20.9,0.1008734
20.95,0.1348623
21,0.1447397
21.05,0.1171317
21.1,7.46E-02
21.15,5.88E-02
21.2,4.56E-02
21.25,3.09E-02
21.3,4.37E-02
21.35,7.22E-02
21.4,0.1048315
21.45,0.1605762
21.5,0.1981589
21.55,0.1816068
21.6,0.1055689
21.65,4.80E-02
21.7,1.80E-02
21.75,-1.91E-03
21.8,-1.91E-02
21.85,-0.0176882
21.9,-2.62E-02
21.95,-3.38E-02
22,-0.0297623
22.05,-1.82E-02
22.1,-4.41E-02
22.15,-6.29E-02
22.2,0.2561009
22.25,1.584725
22.3,4.41483
22.35,8.69338
22.4,13.384
22.45,17.00986
22.5,18.49184
22.55,17.39702
22.6,14.68752
22.65,11.39037
22.7,8.207284
22.75,5.568695
22.8,3.513061
22.85,2.093848
22.9,1.185569
22.95,0.6754041
23,0.4336621
23.05,0.2920651
23.1,0.2231774
23.15,0.1803633
23.2,0.1688539
23.25,0.1608792
23.3,0.1546737
23.35,0.162963
23.4,0.1652066
23.45,0.2065345
23.5,0.2627795
23.55,0.3108286
23.6,0.373369
23.65,0.4045093
23.7,0.4312896
23.75,0.4566299
23.8,0.4963767
23.85,0.5300159
23.9,0.5554966
23.95,0.5824292
24,0.5967628
24.05,0.6025098
24.1,0.5940058
24.15,0.5976973
24.2,0.6269115
24.25,0.6400518
24.3,0.6533377
24.35,0.672914
24.4,0.6736432
24.45,0.6422351
24.5,0.6448123
24.55,0.6442069
24.6,0.6208522
24.65,0.5817011
24.7,0.5429109
24.75,0.5084577
24.8,0.481255
24.85,0.5053846
24.9,0.5187252
24.95,0.5138743
25,0.5145484
25.05,0.4824932
25.1,0.4448768
25.15,0.3868755
25.2,0.3690257
25.25,0.3875542
25.3,0.3891288
25.35,0.4056661
25.4,0.3947028
25.45,0.3446409
25.5,0.2988718
25.55,0.2809467
25.6,0.2864358
25.65,0.2666263
25.7,0.24182
25.75,0.2224132
25.8,0.2064303
25.85,0.231679
25.9,0.3018943
25.95,0.3702435
26,0.395351
26.05,0.3658846
26.1,0.3664596
26.15,0.351882
26.2,0.3475133
26.25,0.364446
26.3,0.3670809
26.35,0.3444804
26.4,0.3260464
26.45,0.3266571
26.5,0.3156877
26.55,0.3013564
26.6,0.2920931
26.65,0.2828558
26.7,0.3094597
26.75,0.3240255
26.8,0.3729445
26.85,0.385858
26.9,0.3699065
26.95,0.362639
27,0.3514058
27.05,0.3340108
27.1,0.3155173
27.15,0.3080233
27.2,0.3209474
27.25,0.3230312
27.3,0.3370455
27.35,0.3493178
27.4,0.3362924
27.45,0.3422104
27.5,0.3557685
27.55,0.3704459
27.6,0.3675317
27.65,0.3529145
27.7,0.3323408
27.75,0.3283544
27.8,0.3317814
27.85,0.3383343
27.9,0.3519085
27.95,0.3903271
28,0.4310864
28.05,0.4625612
28.1,0.5304363
28.15,0.6613236
28.2,0.8507523
28.25,1.142893
28.3,1.585121
28.35,2.261319
28.4,3.301212
28.45,4.795451
28.5,6.784861
28.55,9.550222
28.6,13.32389
28.65,18.20435
28.7,23.31956
28.75,27.17478
28.8,28.33917
28.85,26.16385
28.9,21.42717
28.95,15.70686
29,10.54779
29.05,6.779041
29.1,4.364666
29.15,2.928879
29.2,2.020215
29.25,1.399683
29.3,0.9924961
29.35,0.7235393
29.4,0.58605
29.45,0.6183849
29.5,0.6617713
29.55,0.6902504
29.6,0.6598876
29.65,0.5727015
29.7,0.4842973
29.75,0.429417
29.8,0.4403883
29.85,0.4340212
29.9,0.3930714
29.95,0.3489039
30,0.2957331
30.05,0.2537159
30.1,0.23787
30.15,0.2605549
30.2,0.2829722
30.25,0.3063496
30.3,0.3215396
30.35,0.3012409
30.4,0.2865895
30.45,0.3097394
30.5,0.3430971
30.55,0.3761124
30.6,0.3743735
30.65,0.3695947
30.7,0.3495284
30.75,0.3319837
30.8,0.3338258
30.85,0.3339884
30.9,0.3204578
30.95,0.2980012
31,0.302647
31.05,0.3131827
31.1,0.3275849
31.15,0.3825751
31.2,0.4188961
31.25,0.4336927
31.3,0.4497238
31.35,0.4598507
31.4,0.4743893
31.45,0.5013
31.5,0.5192206
31.55,0.5131114
31.6,0.4922476
31.65,0.4958717
31.7,0.498898
31.75,0.5142543
31.8,0.5474972
31.85,0.5896091
31.9,0.6294041
31.95,0.630864
32,0.6359478
32.05,0.6236656
32.1,0.6714475
32.15,0.6745187
32.2,0.6704521
32.25,0.6744502
32.3,0.6789433
32.35,0.7070076
32.4,0.7614521
32.45,0.8587995
32.5,1.075558
32.55,1.615641
32.6,2.683269
32.65,4.250887
32.7,6.549698
32.75,10.23652
32.8,16.04176
32.85,23.47127
32.9,30.48316
32.95,34.87326
33,35.32356
33.05,32.1692
33.1,27.18621
33.15,22.30318
33.2,18.59383
33.25,15.91753
33.3,13.86114
33.35,12.05785
33.4,10.19502
33.45,8.257616
33.5,6.39835
33.55,4.819286
33.6,3.59823
33.65,2.659198
33.7,2.063086
33.75,1.627537
33.8,1.281051
33.85,1.043095
33.9,0.872521
33.95,0.7702198
34,0.7236907
34.05,0.6987281
34.1,0.6838555
34.15,0.6574342
34.2,0.6346324
34.25,0.6041524
34.3,0.5697799
34.35,0.5638052
34.4,0.551773
34.45,0.5391493
34.5,0.5256972
34.55,0.520304
34.6,0.4815785
34.65,0.4333895
34.7,0.3945668
34.75,0.3907324
34.8,0.4076244
34.85,0.4646203
34.9,0.5194618
34.95,0.53611
35,0.5286971
35.05,0.5279186
35.1,0.5568091
35.15,0.6475599
35.2,0.7564837
35.25,0.8677534
35.3,0.9317201
35.35,0.94315
35.4,0.9253816
35.45,0.884589
35.5,0.8301197
35.55,0.7770373
35.6,0.7454159
35.65,0.7354267
35.7,0.7266519
35.75,0.7409396
35.8,0.7535474
35.85,0.7226391
35.9,0.6907016
35.95,0.6770421
36,0.6660357
36.05,0.6554248
36.1,0.6656543
36.15,0.6844772
36.2,0.6831385
36.25,0.7387345
36.3,0.801681
36.35,0.8627058
36.4,0.8929118
36.45,0.9316822
36.5,0.9131189
36.55,0.8847224
36.6,0.8658057
36.65,0.8454064
36.7,0.8073321
36.75,0.8013927
36.8,0.8233883
36.85,0.8523108
36.9,0.8913607
36.95,0.9163646
37,0.9221283
37.05,0.9193712
37.1,0.9291396
37.15,0.9383875
37.2,0.9617968
37.25,0.9696789
37.3,0.9793948
37.35,0.9887218
37.4,1.009387
37.45,1.017106
37.5,1.012846
37.55,1.005478
37.6,1.020021
37.65,1.04646
37.7,1.049328
37.75,1.029735
37.8,1.034815
37.85,1.286624
37.9,2.268904
37.95,4.37036
38,7.364758
38.05,10.70364
38.1,14.10109
38.15,17.21302
38.2,19.67644
38.25,20.98626
38.3,21.02132
38.35,19.83228
38.4,17.6564
38.45,15.13695
38.5,12.83516
38.55,10.85702
38.6,9.128069
38.65,7.670365
38.7,6.494063
38.75,5.519795
38.8,4.722182
38.85,4.16342
38.9,3.777205
38.95,3.489994
39,3.228699
39.05,3.026252
39.1,2.858751
39.15,2.70745
39.2,2.559607
39.25,2.454708
39.3,2.328717
39.35,2.174241
39.4,2.020264
39.45,1.897851
39.5,1.78433
39.55,1.69822
39.6,1.627773
39.65,1.570914
39.7,1.521631
39.75,1.457386
39.8,1.393022
39.85,1.386567
39.9,1.345792
39.95,1.258803
40,1.18145
40.05,1.090775
40.1,0.9680402
40.15,0.9065396
40.2,0.8719977
40.25,0.8454001
40.3,0.8197011
40.35,0.8303587
40.4,0.8498443
40.45,0.8581312
40.5,0.8927016
40.55,0.9212317
40.6,0.9612155
40.65,0.9834361
40.7,0.9768842
40.75,0.9675465
40.8,0.9522194
40.85,0.9153187
40.9,0.940235
40.95,1.003785
41,1.062241
41.05,1.082085
41.1,1.05629
41.15,1.006707
41.2,0.9649512
41.25,0.9677703
41.3,1.007488
41.35,1.042193
41.4,1.05915
41.45,1.073923
41.5,1.109044
41.55,1.187174
41.6,1.287999
41.65,1.43896
41.7,1.540432
41.75,1.562165
41.8,1.441482
41.85,1.276345
41.9,1.346434
41.95,1.37228
42,1.367948
42.05,1.302671
42.1,1.166491
42.15,1.02974
42.2,0.9954237
42.25,1.158894
42.3,1.149168
42.35,1.165222
42.4,1.171446
42.45,1.190043
42.5,1.147151
42.55,1.17319
42.6,1.177046
42.65,1.153751
42.7,1.145517
42.75,1.160974
42.8,1.169546
42.85,1.148141
42.9,1.161231
42.95,1.203001
43,1.240889
43.05,1.266959
43.1,1.288296
43.15,1.290106
43.2,1.341357
43.25,1.465634
43.3,1.663317
43.35,1.971043
43.4,2.369662
43.45,2.914835
43.5,3.725494
43.55,4.740252
43.6,5.915798
43.65,7.115095
43.7,8.260586
43.75,9.330306
43.8,10.29161
43.85,11.20553
43.9,11.96626
43.95,12.54431
44,12.85108
44.05,12.98005
44.1,13.18409
44.15,13.44766
44.2,13.87356
44.25,14.27805
44.3,14.37278
44.35,14.2701
44.4,13.90564
44.45,13.30328
44.5,12.58555
44.55,11.79661
44.6,10.83374
44.65,9.759398
44.7,8.7289
44.75,7.704417
44.8,6.695134
44.85,5.72378
44.9,4.872937
44.95,4.1369
45,3.587391
45.05,3.172059
45.1,2.909895
45.15,2.702631
45.2,2.503944
45.25,2.271446
45.3,2.12087
45.35,1.988556
45.4,1.855648
45.45,1.782508
45.5,1.716917
45.55,1.622919
45.6,1.538536
45.65,1.485719
45.7,1.462633
45.75,1.387217
45.8,1.322573
45.85,1.262954
45.9,1.217308
45.95,1.199912
46,1.213708
46.05,1.24471
46.1,1.242184
46.15,1.146513
46.2,1.058184
46.25,0.9688305
46.3,0.9031664
46.35,0.9005636
46.4,0.9334192
46.45,0.9602316
46.5,0.9603242
46.55,0.9615911
46.6,0.9393939
46.65,0.9007336
46.7,0.929372
46.75,0.9518423
46.8,0.9575801
46.85,0.9882773
46.9,0.9834473
46.95,0.9963898
47,1.027366
47.05,1.069851
47.1,1.11772
47.15,1.112692
47.2,1.077849
47.25,1.034744
47.3,1.027743
47.35,1.050695
47.4,1.087993
47.45,1.129421
47.5,1.144176
47.55,1.123654
47.6,1.100696
47.65,1.059769
47.7,1.033297
47.75,0.9924991
47.8,0.9978198
47.85,1.058313
47.9,1.144097
47.95,1.177715
48,1.189016
48.05,1.228289
48.1,1.268274
48.15,1.296734
48.2,1.315792
48.25,1.31625
48.3,1.286088
48.35,1.286929
48.4,1.371199
48.45,1.496567
48.5,1.543809
48.55,1.541999
48.6,1.501557
48.65,1.465303
48.7,1.433101
48.75,1.422342
48.8,1.446392
48.85,1.432964
48.9,1.396547
48.95,1.392166
49,1.403453
49.05,1.427801
49.1,1.46038
49.15,1.513055
49.2,1.556749
49.25,1.545282
49.3,1.557495
49.35,1.573232
49.4,1.544416
49.45,1.542108
49.5,1.560291
49.55,1.604157
49.6,1.648406
49.65,1.714353
49.7,1.823059
49.75,1.884883
49.8,1.912787
49.85,1.92633
49.9,1.933176
49.95,1.937778
50,2.026607
50.05,2.176333
50.1,2.35349
50.15,2.509131
50.2,2.658383
50.25,2.713663
50.3,2.669082
50.35,2.682661
50.4,2.759462
50.45,2.850073
50.5,3.032981
50.55,3.291194
50.6,3.519684
50.65,3.681081
50.7,3.855047
50.75,4.047353
50.8,4.24259
50.85,4.468536
50.9,4.665986
50.95,4.935544
51,5.276349
51.05,5.599048
51.1,5.939375
51.15,6.228162
51.2,6.433764
51.25,6.632645
51.3,6.914854
51.35,7.280492
51.4,7.618446
51.45,8.079699
51.5,8.647086
51.55,9.126344
51.6,9.463886
51.65,9.621159
51.7,9.668948
51.75,9.768148
51.8,9.992712
51.85,10.28584
51.9,10.66982
51.95,10.93466
52,11.08437
52.05,11.31296
52.1,11.45034
52.15,11.43116
52.2,11.31926
52.25,11.30209
52.3,11.34515
52.35,11.37128
52.4,11.37453
52.45,11.22436
52.5,10.98117
52.55,10.69299
52.6,10.41502
52.65,10.08996
52.7,9.714987
52.75,9.321972
52.8,9.067578
52.85,8.76915
52.9,8.456887
52.95,8.049476
53,7.668099
53.05,7.279817
53.1,6.911394
53.15,6.568553
53.2,6.254632
53.25,5.853172
53.3,5.422142
53.35,5.031212
53.4,4.671929
53.45,4.335362
53.5,4.028108
53.55,3.775932
53.6,3.461586
53.65,3.119782
53.7,2.827197
53.75,2.571437
53.8,2.33124
53.85,2.184773
53.9,2.078971
53.95,1.975235
54,1.875932
54.05,1.78104
54.1,1.72005
54.15,1.634504
54.2,1.585977
54.25,1.555054
54.3,1.477562
54.35,1.41383
54.4,1.302311
54.45,1.277265
54.5,1.232296
54.55,1.314087
54.6,1.419814
54.65,1.489545
54.7,1.529023
54.75,1.547023
54.8,1.515262
54.85,1.473899
54.9,1.440096
54.95,1.381563
55,1.291456
55.05,1.259685
55.1,1.275388
55.15,1.31447
55.2,1.358723
55.25,1.448464
55.3,1.507228
55.35,1.488906
55.4,1.423777
55.45,1.421491
55.5,1.433824
55.55,1.501546
55.6,1.5804
55.65,1.642065
55.7,1.693055
55.75,1.707363
55.8,1.691566
55.85,1.672015
55.9,1.68043
55.95,1.710567
56,1.705738
56.05,1.754849
56.1,1.830327
56.15,1.927154
56.2,2.00067
56.25,2.107941
56.3,2.210979
56.35,2.254222
56.4,2.244991
56.45,2.234458
56.5,2.271126
56.55,2.372071
56.6,2.549081
56.65,2.706514
56.7,2.778447
56.75,2.856615
56.8,2.890322
56.85,2.95396
56.9,3.027625
56.95,3.09057
57,3.15798
57.05,3.199754
57.1,3.323125
57.15,3.44991
57.2,3.585951
57.25,3.754822
57.3,3.875797
57.35,4.038033
57.4,4.212635
57.45,4.417915
57.5,4.581428
57.55,4.67122
57.6,4.793036
57.65,4.917643
57.7,4.996706
57.75,5.002737
57.8,5.04919
57.85,5.122759
57.9,5.182439
57.95,5.312609
58,5.50802
58.05,5.585782
58.1,5.686316
58.15,5.705294
58.2,5.745489
58.25,5.758886
58.3,5.838268
58.35,5.995718
58.4,6.136145
58.45,6.254185
58.5,6.337149
58.55,6.427485
58.6,6.484018
58.65,6.550623
58.7,6.587851
58.75,6.503214
58.8,6.476826
58.85,6.509286
58.9,6.502969
58.95,6.499946
59,6.443695
59.05,6.376983
59.1,6.381003
59.15,6.529373
59.2,6.712881
59.25,6.816251
59.3,6.787623
59.35,6.689692
59.4,6.585801
59.45,6.496299
59.5,6.397611
59.55,6.27495
59.6,6.202657
59.65,6.296616
59.7,6.299049
59.75,6.208246
59.8,5.963736
59.85,5.759399
59.9,5.693088
59.95,5.667532
60,5.664268
60.05,5.564074
60.1,5.338849
60.15,5.177285
60.2,5.110295
60.25,5.059073
60.3,4.897323
60.35,4.765159
60.4,4.671884
60.45,4.546395
60.5,4.430569
60.55,4.340541
60.6,4.216836
60.65,3.992646
60.7,3.813202
60.75,3.691877
60.8,3.622652
60.85,3.572008
60.9,3.489908
60.95,3.350067
61,3.171009
61.05,3.042692
61.1,2.96919
61.15,2.902107
61.2,2.817238
61.25,2.7309
61.3,2.579632
61.35,2.507454
61.4,2.493926
61.45,2.428277
61.5,2.318597
61.55,2.240118
61.6,2.189176
61.65,2.179223
61.7,2.135864
61.75,2.150362
61.8,2.104542
61.85,1.975239
61.9,1.848529
61.95,1.714649
62,1.620214
62.05,1.535083
62.1,1.546567
62.15,1.569054
62.2,1.515803
62.25,1.480453
62.3,1.448309
62.35,1.436261
62.4,1.387645
62.45,1.304016
62.5,1.2616
62.55,1.193776
62.6,1.123427
62.65,1.0756
62.7,1.03509
62.75,0.9713942
62.8,0.8992558
62.85,0.8571656
62.9,0.8131787
62.95,0.7788821
63,0.7822657
63.05,0.7922491
63.1,0.7701457
63.15,0.739351
63.2,0.7837304
63.25,0.7754024
63.3,0.7759067
63.35,0.8352114
63.4,0.8677714
63.45,0.8105748
63.5,0.713268
63.55,0.637378
63.6,0.5786518
63.65,0.5761134
63.7,0.6587588
63.75,0.7169524
63.8,0.7138769
63.85,0.6960261
63.9,0.6380115
63.95,0.6214715
64,0.5475706
64.05,0.5076448
64.1,0.4938703
64.15,0.4857912
64.2,0.5138405
64.25,0.5388391
64.3,0.5192528
64.35,0.4814766
64.4,0.4448508
64.45,0.4661486
64.5,0.4620041
64.55,0.4488474
64.6,0.4319594
64.65,0.4066425
64.7,0.3883234
64.75,0.4093967
64.8,0.4695008
64.85,0.5062453
64.9,0.5244573
64.95,0.5173159
65,0.4844836
65.05,0.4628502
65.1,0.4334972
65.15,0.4282992
65.2,0.4373123
65.25,0.4512199
65.3,0.4462916
65.35,0.4508512
65.4,0.4526502
65.45,0.4365045
65.5,0.432481
65.55,0.4223968
65.6,0.3884136
65.65,0.3541568
65.7,0.3463612
65.75,0.3552517
65.8,0.361353
65.85,0.3944821
65.9,0.3975773
65.95,0.4119385
66,0.4148868
66.05,0.4067814
66.1,0.3862925
66.15,0.3742752
66.2,0.3742752
66.25,0.3742752
66.3,0.3742752
66.35,0.3742752
66.4,0.3742752
66.45,0.3742752
66.5,0.3742752
66.55,0.3742752
66.6,0.3742752
66.65,0.3742752
66.7,0.3742752
66.75,0.3742752
66.8,0.3742752
66.85,0.3742752
66.9,0.3742752
66.95,0.3742752
67,0.3742752
67.05,0.3742752
67.1,0.3742752
67.15,0.3742752
67.2,0.3742752
67.25,0.3742752
67.3,0.3742752
67.35,0.3742752
67.4,0.3742752
67.45,0.3742752
67.5,0.3742752
67.55,0.3742752
67.6,0.3742752
67.65,0.3742752
67.7,0.3742752
67.75,0.3742752
67.8,0.3742752
67.85,0.3742752
67.9,0.3742752
67.95,0.3742752
68,0.3742752
68.05,0.3742752
68.1,0.3742752
68.15,0.3742752
68.2,0.3742752
68.25,0.3742752
68.3,0.3742752
68.35,0.3742752
68.4,0.3742752
68.45,0.3742752
68.5,0.3742752
68.55,0.3742752
68.6,0.3742752
68.65,0.3742752
68.7,0.3742752
68.75,0.3742752
68.8,0.3742752
68.85,0.3742752
68.9,0.3742752
68.95,0.3742752
69,0.3742752
69.05,0.3742752
69.1,0.3742752
69.15,0.3742752
69.2,0.3742752
69.25,0.3742752
69.3,0.3742752
69.35,0.3742752
69.4,0.3742752
69.45,0.3742752
69.5,0.3742752
69.55,0.3742752
69.6,0.3742752
69.65,0.3742752
69.7,0.3742752
69.75,0.3742752
69.8,0.3742752
69.85,0.3742752
69.9,0.3742752
69.95,0.3742752