Plate_Number,File_Name
1,Eukaryote Total RNA Nano_2020-12-10_07-39-50
2,Eukaryote Total RNA Nano_2020-12-10_07-47-43
3,Eukaryote Total RNA Nano_2020-12-10_08-35-37
4,Eukaryote Total RNA Nano_2020-12-10_08-43-35
5,Eukaryote Total RNA Nano_2020-12-10_11-51-15
6,Eukaryote Total RNA Nano_2020-12-10_11-57-22
7,Eukaryote Total RNA Nano_2020-12-10_12-26-54
8,Eukaryote Total RNA Nano_2020-12-10_12-35-05
9,Eukaryote Total RNA Nano_2020-12-10_13-15-38
10,Eukaryote Total RNA Nano_2020-12-10_13-20-33
11,Eukaryote Total RNA Nano_2020-12-10_15-17-25
12,Eukaryote Total RNA Nano_2020-12-10_15-22-13
13,Eukaryote Total RNA Nano_2020-12-10_15-49-28
14,Eukaryote Total RNA Nano_2020-12-10_15-52-31
15,Eukaryote Total RNA Nano_2020-12-10_16-13-55
16,Eukaryote Total RNA Nano_2020-12-10_16-18-58
17,Eukaryote Total RNA Nano_2020-12-11_07-40-22
18,Eukaryote Total RNA Nano_2020-12-11_08-00-55
19,Eukaryote Total RNA Nano_2020-12-11_08-13-41
20,Eukaryote Total RNA Nano_2020-12-11_08-50-00
21,Eukaryote Total RNA Nano_2020-12-11_09-00-11
22,Eukaryote Total RNA Nano_2020-12-11_09-26-01
23,Eukaryote Total RNA Nano_2020-12-11_09-39-16
24,Eukaryote Total RNA Nano_2020-12-11_09-53-14