,index,Sample,Nucleotide,Timepoint,Plate,FileNumber,filename,time,fu,nt,peak_idx,widths,loc_curated,w_curated,peak_nts,peak_area,backgd_area,peak_area_backsub,total_area,frac_intact,frac_norm
0,0,hHBB_Yellowstone_hHBB,natural,0.0,1,1,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.07061768 -0.07061768 -0.07061768 ...  0.09526337  0.05515959
  0.016392  ]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243 370 408 531],[ 7.54044965 11.03362898  7.33427491  8.6990733  25.52667767],[110 243 408],[ 7.54044965 11.03362898  8.6990733 ],[ 23.46200583 233.88945222 923.35372053],[194.51495153 210.9979315  493.317964  ],[ 26.7816576  51.618942  211.132017 ],[167.73329393 159.3789895  282.185947  ],1232.697450500001,1.7705341706913003,1.0
1,1,hHBB_Yellowstone_hHBB,natural,0.5,1,2,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01259995 -0.01259995 -0.01259995 ...  0.9756446   0.1997273
 -0.2052727 ]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[ 110  243  370  409  531 1053],[ 7.74335487 11.14634671  7.78324341  8.63313791 18.35179449  5.45265598],[110 243 409],[ 7.74335487 11.14634671  8.63313791],[ 23.46200583 233.88945222 929.26058738],[202.35548888 118.7049643  221.395804  ],[ 30.9304616  29.8423644 103.154472 ],[171.42502728  88.8625999  118.241332  ],791.1366487377609,1.3306085139649402,0.7515294175008256
2,2,hHBB_Yellowstone_hHBB,natural,1.0,1,3,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.02025604 0.02025604 0.02025604 ... 0.01544855 0.03864893 0.04091336],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 244 410],[ 7.78822692 11.11464382  8.92201047],[110 244 410],[ 7.78822692 11.11464382  8.92201047],[ 23.46200583 236.51300642 935.19013935],[201.20093443 106.8718096  142.626198  ],[40.93058902 35.2136988  73.321497  ],[160.27034541  71.6581108   69.304701  ],767.8472108999999,0.9671578028819604,0.5462519836622731
3,3,hHBB_Yellowstone_hHBB,natural,1.5,1,4,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03289413 -0.03289413 -0.03289413 ...  0.09187492  0.08547714
  0.08661778]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 244 410],[ 7.87737607 11.50676993  8.98472074],[110 244 410],[ 7.87737607 11.50676993  8.98472074],[ 23.46200583 236.51300642 935.19013935],[203.45033743 107.0345808   89.661324  ],[35.7152288 31.4336508 47.983662 ],[167.73510863  75.60093     41.677662  ],655.679259089,0.5512850437157321,0.3113665089561555
4,4,hHBB_Yellowstone_hHBB,natural,2.0,1,5,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.04101181 -0.04101181 -0.04101181 ...  0.2158575   0.2156818
  0.2287732 ]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243 369 409],[ 7.95507124 12.39651059  8.75489677  8.99214148],[110 243 409],[ 7.95507124 12.39651059  8.99214148],[ 23.46200583 233.88945222 929.26058738],[205.8353006 109.3325144  80.69304  ],[32.5744672 36.5976936 49.826691 ],[173.2608334  72.7348208  30.866349 ],720.7033079,0.4243682552662594,0.23968374194131817
5,5,hHBB_Yellowstone_hHBB,natural,3.0,1,6,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.03295135 0.03295135 0.03295135 ... 0.4220729  0.3984164  0.3639968 ],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 244 411],[ 7.86539048 11.98464675  7.74697196],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[205.02734812 125.936906    36.697034  ],[43.03407208 44.305404   25.894536  ],[161.99327604  81.631502    10.802498  ],702.2365969700004,0.1323324664539434,0.07474154898816471
6,6,hHBB_Yellowstone_hHBB,natural,4.0,1,7,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.108963  -0.108963  -0.108963  ...  0.1700074  0.1484496  0.1360354],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 244 370],[ 7.88430134 13.39342139 13.2099577 ],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[195.3835958  99.805976   28.704472 ],[39.6031784 40.00536   21.103304 ],[155.7804174  59.800616    7.601168 ],641.2940771010003,0.12710852343059462,0.07179105918128958
7,7,hHBB_Yellowstone_hHBB,natural,5.0,1,8,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.01882172 0.01882172 0.01882172 ... 0.3167401  0.3212901  0.3135225 ],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243],[ 7.92995817 13.70810934],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[200.19513163 122.997869    23.068413  ],[39.9984336 53.534424  18.433728 ],[160.19669803  69.463445     4.634685  ],711.4295904899992,0.06672120854357273,0.037684225273958774
8,8,hHBB_Yellowstone_hHBB,natural,18.0,1,9,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.07342911 -0.07342911 -0.07342911 ...  0.03407707  0.01761556
  0.00308451]","[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243],[ 7.91511045 15.0454168 ],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[200.7433246  145.704996     1.53983757],[36.34256   77.379504   1.0770271],[164.4007646   68.325492     0.46281047],690.7208049477001,0.006773613403325363,0.003825745650918798
9,9,hHBB_Yellowstone_hHBB,natural,24.0,1,10,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample10.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.0316124 -0.0316124 -0.0316124 ...  0.1157186  0.1299881  0.1367963],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[ 110  242 1008],[ 7.89417624 14.50317105 12.60835017],[110 244 411],[ 7.86539048 11.98464675  7.74697196],[ 23.46200583 236.51300642 941.14240953],[198.9950011  211.470066     2.19959479],[ 34.1207096 111.154356    2.6166768],[164.8742915  100.31571     -0.41708201],874.3068631999994,-0.004157693844762698,-0.002348270885469179
10,10,hHBB_Yellowstone_hHBB,5mC,0.0,1,11,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.03866577 0.03866577 0.03866577 ... 0.02835897 0.0355103  0.04361362],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243 403 511 589],[ 8.17702021 10.7726464   7.26344915 16.91795976 22.52007272],[110 243 403],[ 8.17702021 10.7726464   7.26344915],[ 23.46200583 233.88945222 894.1585039 ],[208.75166986  47.595248   177.302956  ],[34.18962156 15.6713678  58.853456  ],[174.5620483  31.9238802 118.4495   ],562.164268492,3.710372901349253,1.0
11,11,hHBB_Yellowstone_hHBB,5mC,0.5,1,12,nts-Eukaryote Total RNA Nano_2020-10-21_16-07-11_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.05035019 0.05035019 0.05035019 ... 0.07171007 0.06493232 0.05081131],"[   18.79374       18.30293622    17.82060941 ... 10966.37701091
 10993.58437514 11020.83413384]",[110 243 404 512],[ 8.17808147 11.17839683  7.78323214 17.26508666],[110 243 404],[ 8.17808147 11.17839683  7.78323214],[ 23.46200583 233.88945222 899.95244197],[207.75799813  54.2336225  128.683302  ],[36.45064827 17.7732324  49.321624  ],[171.30734986  36.4603901   79.361678  ],571.8900717869999,2.1766546595451812,0.5866404044600625
12,12,hHBB_Yellowstone_hHBB,5mC,1.0,2,1,nts-Eukaryote Total RNA Nano_2020-10-21_16-14-00_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.05903625  0.05903625  0.05903625 ... -0.0317179  -0.04168709
 -0.01584648]","[  -24.62750956   -24.39525234   -24.16228053 ... 10428.3211827
 10450.26642637 10472.22581121]",[110 242 404 513],[ 7.93282902 10.26857269  8.52100439 14.3442936 ],[110 242 404],[ 7.93282902 10.26857269  8.52100439],[ 23.19126839 235.99117128 923.50002009],[180.9896628  47.2624958  96.723788 ],[28.5051368 18.8257333 41.480586 ],[152.484526   28.4367625  55.243202 ],524.35402467,1.942668473599975,0.5235776902352689
13,13,hHBB_Yellowstone_hHBB,5mC,1.5,2,2,nts-Eukaryote Total RNA Nano_2020-10-21_16-14-00_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01742172 -0.01742172 -0.01742172 ...  0.02875663  0.01948198
  0.02596241]","[  -24.62750956   -24.39525234   -24.16228053 ... 10428.3211827
 10450.26642637 10472.22581121]",[110 242 404],[ 7.75096462 10.33976121  9.14826666],[110 242 404],[ 7.75096462 10.33976121  9.14826666],[ 23.19126839 235.99117128 923.50002009],[185.05598784  48.8073052   82.895802  ],[32.91065353 20.3860866  40.64885   ],[152.14533431  28.4212186   42.246952  ],541.9063117000003,1.4864581492645774,0.40062230637897245
14,14,hHBB_Yellowstone_hHBB,5mC,2.0,2,3,nts-Eukaryote Total RNA Nano_2020-10-21_16-14-00_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.02267075  0.02267075  0.02267075 ... -0.1046754  -0.09341799
 -0.09310076]","[  -24.62750956   -24.39525234   -24.16228053 ... 10428.3211827
 10450.26642637 10472.22581121]",[110 242 404],[ 8.02212822 10.86813396  9.62108357],[110 242 404],[ 8.02212822 10.86813396  9.62108357],[ 23.19126839 235.99117128 923.50002009],[186.50059603  60.5433059   79.910172  ],[24.34610848 26.167152   42.3421    ],[162.15448756  34.3761539   37.568072  ],592.5559016500004,1.0928526823938844,0.29453985123610504
15,15,hHBB_Yellowstone_hHBB,5mC,3.0,2,4,nts-Eukaryote Total RNA Nano_2020-10-21_16-14-00_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.00444412 -0.00444412 -0.00444412 ...  0.1949266   0.2089586
  0.2155013 ]","[  -24.62750956   -24.39525234   -24.16228053 ... 10428.3211827
 10450.26642637 10472.22581121]",[110 242 404],[ 8.00181321 13.66335554  8.66387023],[110 242 404],[ 8.00181321 13.66335554  8.66387023],[ 23.19126839 235.99117128 923.50002009],[188.32194821  78.7526773   59.877592  ],[25.72989471 36.7548762  37.462032  ],[162.5920535  41.9978011  22.41556  ],650.6584795999994,0.5337317529226546,0.1438485476024705
16,16,hHBB_Yellowstone_hHBB,5mC,4.0,2,5,nts-Eukaryote Total RNA Nano_2020-10-21_16-14-00_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01612854 -0.01612854 -0.01612854 ... -0.05567901 -0.04668883
 -0.06273418]","[  -24.62750956   -24.39525234   -24.16228053 ... 10428.3211827
 10450.26642637 10472.22581121]",[110 242 404],[ 8.1618237  13.89110381  8.19805562],[110 242 404],[ 8.1618237  13.89110381  8.19805562],[ 23.19126839 235.99117128 923.50002009],[191.10819592  84.675073    44.082301  ],[26.20332045 39.419296   30.29688   ],[164.90487547  45.255777    13.785421  ],642.8241329200001,0.3046112985752071,0.08209721951786494
17,17,hHBB_Yellowstone_hHBB,5mC,5.0,2,6,nts-Eukaryote Total RNA Nano_2020-10-21_16-14-00_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.02908325 0.02908325 0.02908325 ... 0.2021689  0.2110017  0.2173815 ],"[  -24.62750956   -24.39525234   -24.16228053 ... 10428.3211827
 10450.26642637 10472.22581121]",[110 242],[ 8.10569551 14.7527263 ],[110 242 404],[ 8.1618237  13.89110381  8.19805562],[ 23.19126839 235.99117128 923.50002009],[194.25075449  92.448316    34.237912  ],[25.31747601 46.3624     26.168616  ],[168.93327848  46.085916     8.069296  ],656.4915332700002,0.17509245123824832,0.04718998760867865
18,18,hHBB_Yellowstone_hHBB,5mC,18.0,2,7,nts-Eukaryote Total RNA Nano_2020-10-21_16-14-00_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1175804 -0.1175804 -0.1175804 ...  0.1457512  0.1598672  0.1903958],"[  -24.62750956   -24.39525234   -24.16228053 ... 10428.3211827
 10450.26642637 10472.22581121]",[110 241],[ 7.9736013  17.02399295],[110 242 404],[ 8.1618237  13.89110381  8.19805562],[ 23.19126839 235.99117128 923.50002009],[183.80754015 119.494224     2.9554423 ],[22.4590734 73.440556   3.3900633],[161.34846675  46.053668    -0.434621  ],633.5626815999992,-0.009437272184269891,-0.0025434834813606168
19,19,hHBB_Yellowstone_hHBB,5mC,24.0,2,8,nts-Eukaryote Total RNA Nano_2020-10-21_16-14-00_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.05582809 -0.05582809 -0.05582809 ...  0.05235564  0.0739739
  0.07810459]","[  -24.62750956   -24.39525234   -24.16228053 ... 10428.3211827
 10450.26642637 10472.22581121]",[110 241],[ 7.97894653 17.02626613],[110 242 404],[ 8.1618237  13.89110381  8.19805562],[ 23.19126839 235.99117128 923.50002009],[184.41743423 114.902348     1.74237472],[25.4658402  72.098726    1.25573787],[158.95159403  42.803622     0.48663685],626.3110496400004,0.01136905774002021,0.0030641280653720617
20,20,hHBB_Yellowstone_hHBB,PSU,0.0,6,11,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample11.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.06289673 -0.06289673 -0.06289673 ...  0.09083916  0.1297517
  0.1309362 ]","[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 243 396 505],[ 7.44043928 11.28495119  8.08234998 10.69964964],[110 243 396],[ 7.44043928 11.28495119  8.08234998],[ 23.46689634 231.77772345 854.67889417],[117.22763024  47.9187692  407.254604  ],[18.34213703 13.8022836  70.488189  ],[ 98.88549321  34.1164856  336.766415  ],684.5480285164598,9.8710757886504,1.0
21,21,hHBB_Yellowstone_hHBB,PSU,0.5,6,12,nts-Eukaryote Total RNA Nano_2020-10-21_17-06-53_Sample12.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.02863312 0.02863312 0.02863312 ... 0.1638402  0.1799665  0.1895335 ],"[   37.66225132    36.88617102    36.12106069 ... 10825.95847135
 10852.97998341 10880.04542984]",[110 244 396 504],[ 7.28573758 11.40175343  8.22385454 12.6823067 ],[110 244 396],[ 7.28573758 11.40175343  8.22385454],[ 23.46689634 234.42344415 854.67889417],[118.60248983  67.0809517  390.769874  ],[15.71228192 19.420956   74.680722  ],[102.89020791  47.6599957  316.089152  ],778.4138007789999,6.632169125436997,0.671879060341382
22,22,hHBB_Yellowstone_hHBB,PSU,1.0,7,1,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample1.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.1312637  -0.1312637  -0.1312637  ... -0.08113862 -0.0805735
 -0.09599926]","[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 242 397],[ 8.03294885 10.63472253  8.59160562],[110 242 397],[ 8.03294885 10.63472253  8.59160562],[ 23.72265504 232.91504145 880.27169363],[208.11674477  56.3652284  304.45013   ],[27.9292743 20.7818809 77.137254 ],[180.18747047  35.5833475  227.312876  ],792.0193548680002,6.388181325548419,0.6471616126069506
23,23,hHBB_Yellowstone_hHBB,PSU,1.5,7,2,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample2.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1975937 -0.1975937 -0.1975937 ... -0.1183635 -0.1423849 -0.1734148],"[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 242 397],[ 8.07184017 11.07355509  8.46365681],[110 242 397],[ 8.07184017 11.07355509  8.46365681],[ 23.72265504 232.91504145 880.27169363],[213.3576732  64.3377691 263.616501 ],[27.152946  22.3649316 65.567151 ],[186.2047272  41.9728375 198.04935  ],753.9964098554001,4.718512299770058,0.4780139876137235
24,24,hHBB_Yellowstone_hHBB,PSU,2.0,7,3,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample3.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.03570938  0.03570938  0.03570938 ... -0.00786387 -0.01981453
 -0.03217534]","[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 243 397],[ 8.10220381 11.02718977  8.45326078],[110 243 397],[ 8.10220381 11.02718977  8.45326078],[ 23.72265504 235.63722018 880.27169363],[217.4298352  66.2678309 226.514707 ],[35.08473771 24.4669368  70.013601  ],[182.34509749  41.8008941  156.501106  ],794.2375792280002,3.743965514842897,0.37928647241748936
25,25,hHBB_Yellowstone_hHBB,PSU,3.0,7,4,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample4.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.03306961 -0.03306961 -0.03306961 ...  0.03835091  0.03904183
  0.05593933]","[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 242 362 396],[ 8.11334562 11.32593859  8.89975796  8.73693798],[110 242 396],[ 8.11334562 11.32593859  8.73693798],[ 23.72265504 232.91504145 874.54166208],[219.61382549  84.637286   205.471103  ],[29.22951733 36.374556   71.752995  ],[190.38430816  48.26273    133.718108  ],897.2385099080001,2.7706287646803243,0.2806815411007124
26,26,hHBB_Yellowstone_hHBB,PSU,4.0,7,5,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample5.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[-0.1671371 -0.1671371 -0.1671371 ...  0.2044338  0.2075036  0.2178826],"[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 243 361 397],[ 8.11681032 11.09580729  8.80227959  8.876894  ],[110 243 397],[ 8.11681032 11.09580729  8.876894  ],[ 23.72265504 235.63722018 880.27169363],[220.99918212  94.260361   153.614661  ],[36.75109401 41.502324   59.733144  ],[184.24808811  52.758037    93.881517  ],884.8738063369999,1.779473277218407,0.1802714633459117
27,27,hHBB_Yellowstone_hHBB,PSU,5.0,7,6,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.08594131 -0.08594131 -0.08594131 ... -0.08767341 -0.08110214
 -0.05391178]","[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 243 361 397],[ 8.32764891 11.55582946  9.02855134  9.26809917],[110 243 397],[ 8.32764891 11.55582946  9.26809917],[ 23.72265504 235.63722018 880.27169363],[221.43948683 102.362513   132.274255  ],[39.20847597 44.193684   54.71237   ],[182.23101086  58.168829    77.561885  ],893.9429692319998,1.3333925804145033,0.13508077629670479
28,28,hHBB_Yellowstone_hHBB,PSU,18.0,7,7,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample7.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.01794052 -0.01794052 -0.01794052 ...  0.3265089   0.3263974
  0.3287765 ]","[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 243],[ 8.06285799 15.88611548],[110 243 397],[ 8.32764891 11.55582946  9.26809917],[ 23.72265504 235.63722018 880.27169363],[209.83574848 145.857654    12.1672736 ],[36.11591487 83.34432    11.43473   ],[173.71983361  62.513334     0.7325436 ],847.1472620400002,0.011718197592852744,0.0011871246704767615
29,29,hHBB_Yellowstone_hHBB,PSU,24.0,7,8,nts-Eukaryote Total RNA Nano_2020-10-21_17-37-08_Sample8.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],[0.03736877 0.03736877 0.03736877 ... 0.1831316  0.1732585  0.1631501 ],"[   66.85385734    65.58818767    64.33860826 ... 11677.17130628
 11708.75432483 11740.40069836]",[110 241],[ 8.1622132  17.32923691],[110 243 397],[ 8.32764891 11.55582946  9.26809917],[ 23.72265504 235.63722018 880.27169363],[213.4766441 137.76709     3.4683912],[23.714433  84.829056   3.4487434],[1.89762211e+02 5.29380340e+01 1.96478000e-02],790.7610649699997,0.000371147141580689,3.7599462259972505e-05
30,30,hHBB_LinearDesign_hHBB,5mC,0.0,9,6,nts-Eukaryote Total RNA Nano_2020-10-22_10-58-16_Sample6.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[ 0.1589432   0.1589432   0.1589432  ...  0.0005617  -0.00170905
  0.00517591]","[   25.00044755    24.38555415    23.78071439 ... 11283.60648849
 11312.72946375 11341.90324546]",[110 244 415 551],[ 7.69862988 11.48165738  9.38169103 22.55983116],[110 244 415],[ 7.69862988 11.48165738  9.38169103],[ 23.3095643  237.86766939 966.5429956 ],[149.92961621  38.6552985   72.628394  ],[26.35101064 12.013428   31.83949   ],[123.57860557  26.6418705   40.788904  ],342.9353409439999,1.5310075169083945,1.0
31,31,hHBB_LinearDesign_hHBB,5mC,0.5,2,9,nts-Eukaryote Total RNA Nano_2020-10-21_16-14-00_Sample9.csv,[17.   17.05 17.1  ... 69.85 69.9  69.95],"[-0.07277298 -0.07277298 -0.07277298 ...  0.1491573   0.1489211
  0.1483693 ]","[  -24.62750956   -24.39525234   -24.16228053 ... 10428.3211827
 10450.26642637 10472.22581121]",[110 243 412 546],[ 8.18622403 10.77397822  8.27601328 14.2123906 ],[110 243 412],[ 8.18622403 10.77397822  8.27601328],[ 23.19126839 238.60782163 972.78583023],[185.5038361  35.8832116 105.99299  ],[33.0829691 11.686906  38.316123 ],[152.42086699  24.1963056   67.676867  ],396.24355448700004,2.7969917440619536,1.826896153788974
